,fiat_reserve,investors_money,overhead_cost,product_cost,revenue,run,substep,time,timestep,tx_volume
74,-44513.44814703111,5606.127246667495,10190.0,0.2031927514287012,734.1267418855075,1,2,2018-01-20 00:00:00,19,21.99924461948635
75,-38907.320900363615,5606.127246667495,10190.0,0.2031927514287012,734.1267418855075,1,3,2018-01-20 00:00:00,19,21.99924461948635
76,-49097.320900363615,5606.127246667495,10190.0,0.2031927514287012,734.1267418855075,1,4,2018-01-20 00:00:00,19,21.99924461948635
77,-49097.320900363615,5437.94342926747,10200.0,0.2589838241885438,734.1267418855075,1,1,2018-01-21 00:00:00,20,22.1303037621456
78,-49041.99514095825,5437.94342926747,10200.0,0.2589838241885438,789.4525012908715,1,2,2018-01-21 00:00:00,20,22.1303037621456
79,-43604.05171169078,5437.94342926747,10200.0,0.2589838241885438,789.4525012908715,1,3,2018-01-21 00:00:00,20,22.1303037621456
80,-53804.05171169078,5437.94342926747,10200.0,0.2589838241885438,789.4525012908715,1,4,2018-01-21 00:00:00,20,22.1303037621456
81,-53804.05171169078,5274.805126389445,10210.0,0.2873158105924422,789.4525012908715,1,1,2018-01-22 00:00:00,21,23.32140005434444
82,-53745.74821155492,5274.805126389445,10210.0,0.2873158105924422,847.7560014267326,1,2,2018-01-22 00:00:00,21,23.32140005434444
83,-48470.943085165476,5274.805126389445,10210.0,0.2873158105924422,847.7560014267326,1,3,2018-01-22 00:00:00,21,23.32140005434444
84,-58680.943085165476,5274.805126389445,10210.0,0.2873158105924422,847.7560014267326,1,4,2018-01-22 00:00:00,21,23.32140005434444
85,-58680.943085165476,5116.560972597761,10220.0,0.27985543309103444,847.7560014267326,1,1,2018-01-23 00:00:00,22,24.98537132439078
86,-58618.4796568545,5116.560972597761,10220.0,0.27985543309103444,910.2194297377096,1,2,2018-01-23 00:00:00,22,24.98537132439078
87,-53501.918684256736,5116.560972597761,10220.0,0.27985543309103444,910.2194297377096,1,3,2018-01-23 00:00:00,22,24.98537132439078
88,-63721.918684256736,5116.560972597761,10220.0,0.27985543309103444,910.2194297377096,1,4,2018-01-23 00:00:00,22,24.98537132439078
89,-63721.918684256736,4963.064143419828,10230.0,0.26254068443022777,910.2194297377096,1,1,2018-01-24 00:00:00,23,26.859116842571364
90,-63654.77089215031,4963.064143419828,10230.0,0.26254068443022777,977.3672218441379,1,2,2018-01-24 00:00:00,23,26.859116842571364
91,-58691.70674873048,4963.064143419828,10230.0,0.26254068443022777,977.3672218441379,1,3,2018-01-24 00:00:00,23,26.859116842571364
92,-68921.70674873047,4963.064143419828,10230.0,0.26254068443022777,977.3672218441379,1,4,2018-01-24 00:00:00,23,26.859116842571364
93,-68921.70674873047,4814.172219117233,10240.0,0.29915000312459916,977.3672218441379,1,1,2018-01-25 00:00:00,24,28.08866477629449
94,-68851.48508678973,4814.172219117233,10240.0,0.29915000312459916,1047.5888837848743,1,2,2018-01-25 00:00:00,24,28.08866477629449
95,-64037.3128676725,4814.172219117233,10240.0,0.29915000312459916,1047.5888837848743,1,3,2018-01-25 00:00:00,24,28.08866477629449
